timestamp,open,high,low,close,volume
2023-04-20,285.2500,289.0300,285.0800,286.1100,23244363
2023-04-19,285.9900,289.0500,284.5400,288.4500,17150271
2023-04-18,291.5700,291.7550,287.0100,288.3700,20161845
2023-04-17,289.9300,291.6000,286.1600,288.8000,23791151
2023-04-14,287.0000,288.4800,283.6900,286.1400,20987917
2023-04-13,283.5900,289.9000,283.1700,289.8400,24222678
2023-04-12,284.7900,287.0100,281.9600,283.4900,27403432
2023-04-11,285.7500,285.9800,281.6400,282.8300,27276589
2023-04-10,289.2080,289.6000,284.7100,289.3900,23102994
2023-04-06,283.2100,292.0800,282.0300,291.6000,29770334
2023-04-05,285.8500,287.1500,282.9200,284.3400,22064770
2023-04-04,287.2300,290.4499,285.6700,287.1800,25824299
2023-04-03,286.5200,288.2700,283.9500,287.2300,24883342
2023-03-31,283.7300,289.2700,283.0000,288.3000,32765976
2023-03-30,284.2300,284.4600,281.4800,284.0500,25053410
2023-03-29,278.9600,281.1398,278.4100,280.5100,25087032
2023-03-28,275.7900,276.1400,272.0451,275.2300,21878647
2023-03-27,280.5000,281.4589,275.5200,276.3800,26840212
2023-03-24,277.2400,280.6300,275.2800,280.5700,28199962
2023-03-23,277.9400,281.0600,275.2000,277.6600,36610879
2023-03-22,273.4000,281.0400,272.1800,272.2900,34873330
2023-03-21,274.8800,275.0000,269.5191,273.7800,34558704
2023-03-20,276.9800,277.4800,269.8500,272.2300,43466649
2023-03-17,278.2600,283.3300,276.3201,279.4300,69527371
2023-03-16,265.2050,276.5600,263.2800,276.2000,54832140
2023-03-15,259.9800,266.4800,259.2100,265.4400,46028047
2023-03-14,256.7500,261.0700,255.8600,260.7900,33620293
2023-03-13,247.4000,257.9100,245.7300,253.9200,33339721
2023-03-10,251.0800,252.7900,247.6000,248.5900,28333930
2023-03-09,255.8200,259.5600,251.5800,252.3200,26653387
2023-03-08,254.0400,254.5417,250.8100,253.7000,17340217
2023-03-07,256.3000,257.6900,253.3900,254.1500,21473179
2023-03-06,256.4250,260.1200,255.9800,256.8700,24109849
2023-03-03,252.1900,255.6200,251.3900,255.2900,30760136
